Trade ID,Entry Date,Exit Date,Action,Entry Price,Exit Price,PnL,Score,Confluence,Reason
11,2026-02-17T18:00:00.000Z,2026-02-18T06:00:00.000Z,SELL,67200.91,67971.23,-2.50,9,"Trend aligned, OB/FVG detected, Structure break, Volume confirmation, Killzone: NY Open, CPR PP aligned, Liquidity sweep, VWAP aligned, In OTE zone",Stop Loss
12,2026-02-21T18:00:00.000Z,2026-02-22T00:00:00.000Z,BUY,68388.06,67853.23,-2.50,7,"Trend aligned, Structure break, Killzone: NY Open, CPR PP aligned, Liquidity sweep, VWAP aligned, In OTE zone",Stop Loss
13,2026-02-23T18:00:00.000Z,2026-02-24T00:00:00.000Z,SELL,64803.66,64631.78,0.67,7,"Trend aligned, OB/FVG detected, Volume confirmation, Killzone: NY Open, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Trailing SL (Breakeven+)
14,2026-02-24T00:00:00.000Z,2026-02-25T00:00:00.000Z,SELL,64625.78,65356.67,-2.50,7,"Trend aligned, OB/FVG detected, Volume confirmation, Killzone: Active Session, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Stop Loss
15,2026-02-27T00:00:00.000Z,2026-02-27T06:00:00.000Z,BUY,67490.50,66739.66,-2.50,7,"Trend aligned, OB/FVG detected, Killzone: Active Session, CPR PP aligned, Liquidity sweep, VWAP aligned, In OTE zone",Stop Loss
16,2026-03-02T18:00:00.000Z,2026-03-29T18:00:00.000Z,BUY,69212.75,65186.01,-2.50,7,"Trend aligned, OB/FVG detected, Structure break, Volume confirmation, Killzone: NY Open, Wyckoff confirmed, VWAP aligned",Stop Loss
17,2026-03-31T12:00:00.000Z,2026-03-31T18:00:00.000Z,SELL,66624.91,67256.18,-2.50,7,"Trend aligned, OB/FVG detected, Volume confirmation, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Stop Loss
18,2026-04-02T12:00:00.000Z,2026-04-02T18:00:00.000Z,SELL,66197.50,66832.64,-2.50,7,"Trend aligned, OB/FVG detected, Structure break, CPR PP aligned, Liquidity sweep, VWAP aligned, In OTE zone",Stop Loss
19,2026-04-06T00:00:00.000Z,2026-04-17T12:00:00.000Z,BUY,69005.00,75851.81,12.41,7,"Trend aligned, OB/FVG detected, Structure break, Killzone: Active Session, CPR PP aligned, Liquidity sweep, VWAP aligned",Trailing SL (Breakeven+)
20,2026-04-17T18:00:00.000Z,2026-04-18T06:00:00.000Z,BUY,77563.51,76130.74,-2.50,8,"Trend aligned, OB/FVG detected, Structure break, Volume confirmation, Killzone: NY Open, CPR PP aligned, Liquidity sweep, VWAP aligned",Stop Loss
21,2026-04-20T12:00:00.000Z,2026-04-22T00:00:00.000Z,BUY,75220.26,76880.30,6.29,7,"Trend aligned, OB/FVG detected, Volume confirmation, CPR PP aligned, Wyckoff confirmed, VWAP aligned, In OTE zone",Trailing SL (Breakeven+)
22,2026-04-22T06:00:00.000Z,2026-04-28T06:00:00.000Z,BUY,77987.00,76206.23,-2.50,7,"Trend aligned, Near S/R level, OB/FVG detected, Structure break, CPR PP aligned, Liquidity sweep, VWAP aligned",Stop Loss
23,2026-04-28T18:00:00.000Z,2026-04-29T00:00:00.000Z,SELL,76166.79,76646.74,-2.50,8,"Trend aligned, OB/FVG detected, Structure break, Volume confirmation, Killzone: NY Open, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Stop Loss
24,2026-04-29T18:00:00.000Z,2026-05-01T00:00:00.000Z,SELL,76146.12,77116.21,-2.50,7,"Trend aligned, OB/FVG detected, Volume confirmation, Killzone: NY Open, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Stop Loss
25,2026-05-02T18:00:00.000Z,2026-05-04T00:00:00.000Z,BUY,78393.07,78555.12,0.92,7,"Trend aligned, OB/FVG detected, Volume confirmation, Killzone: NY Open, CPR PP aligned, Wyckoff confirmed, VWAP aligned",Trailing SL (Breakeven+)
